CIK,REPORT_TYPE,IRS_NUMBER,SEC_FILE_NUMBER,DOC_TYPE,CONFORMED_DATE,FILED_DATE,ACCEPTANCE_DATETIME,PUBLIC_DOCUMENT_COUNT,SEC_ACT,FILM_NUMBER,NUMBER_TRADES,TOTAL_VALUE,OTHER_INCLUDED_MANAGERS_COUNT,IS_CONFIDENTIAL_OMITTED,SIGNATURE_NAME,SIGNATURE_TITLE,SIGNATURE_CITY,SIGNATURE_STATE,AMENDMENT_FLAG,MAIL_STREET_2,BUSINESS_STREET_1,BUSINESS_STATE,COMPANY_NAME,BUSINESS_PHONE,MAIL_CITY,MAIL_STREET_1,STATE_INC,FORMER_COMPANY_NAME,MAIL_ZIP,BUSINESS_CITY,MAIL_STATE,BUSINESS_STREET_2,BUSINESS_ZIP,FISCAL_YEAR_END,STANDARD_INDUSTRIAL_CLASSIFICATION,SEC_FILING_URL,CREATED_AT,UPDATED_AT
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2023-12-31,2024-02-14,2024-02-14 16:36:40,2,1934 Act,24639360,2083,41354128858,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266424001726/0000902664-24-001726.txt,2026-03-22 03:23:49.760984,2026-03-22 03:23:49.760984
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2024-06-30,2024-08-19,2024-08-19 17:09:44,2,1934 Act,241221544,1790,38213665616,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266424005203/0000902664-24-005203.txt,2026-03-22 03:23:49.887569,2026-03-22 03:23:49.887569
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2024-06-30,2024-09-16,2024-09-16 16:15:21,2,1934 Act,241301216,1790,38214164084,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266424005526/0000902664-24-005526.txt,2026-03-22 03:23:50.010602,2026-03-22 03:23:50.010602
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2024-09-30,2024-11-14,2024-11-14 16:33:46,2,1934 Act,241463313,1931,39343262001,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266424006620/0000902664-24-006620.txt,2026-03-22 03:23:50.145778,2026-03-22 03:23:50.145778
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2024-12-31,2025-02-14,2025-02-14 16:16:40,2,1934 Act,25629052,2038,45388177650,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266425001050/0000902664-25-001050.txt,2026-03-22 03:23:50.291895,2026-03-22 03:23:50.291895
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2025-03-31,2025-05-15,2025-05-15 16:15:11,2,1934 Act,25953287,1983,43803735396,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266425002399/0000902664-25-002399.txt,2026-03-22 03:23:50.448347,2026-03-22 03:23:50.448347
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2025-06-30,2025-08-14,2025-08-14 16:18:53,2,1934 Act,251219517,2123,50941421373,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266425003670/0000902664-25-003670.txt,2026-03-22 03:23:50.608506,2026-03-22 03:23:50.608506
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2025-03-31,2025-07-21,2025-07-21 16:30:22,2,1934 Act,251137587,1984,43807277396,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266425003078/0000902664-25-003078.txt,2026-03-22 03:23:50.782322,2026-03-22 03:23:50.782322
1603466,13F COMBINATION REPORT,465064661,028-16256,13F-HR,2025-09-30,2025-11-14,2025-11-14 16:20:08,2,1934 Act,251486693,2263,59757433234,0,,Jason M. Colombo,Authorized Person,Stamford,CT,,,72 CUMMINGS POINT ROAD,CT,"Point72 Asset Management, L.P.",203-890-2000,STAMFORD,72 CUMMINGS POINT ROAD,DE,,6902.0,STAMFORD,CT,,6902.0,1231,,https://www.sec.gov/Archives/edgar/data/1603466/000090266425005042/0000902664-25-005042.txt,2026-03-22 03:23:50.959133,2026-03-22 03:23:50.959133
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2024-03-31,2024-05-15,2024-05-15 16:01:17,2,1934 Act,24950119,17980,518495218278,1,0.0,Michael Henry,Chief Accounting Officer,New York,NY,,"200 S. BISCAYNE BLVD., SUITE 3300",SOUTHEAST FINANCIAL CENTER,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,SOUTHEAST FINANCIAL CENTER,DE,,33131.0,MIAMI,FL,"200 S. BISCAYNE BLVD., SUITE 3300",33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000095012324005615/0000950123-24-005615.txt,2026-03-22 03:23:53.364388,2026-03-22 03:23:53.364388
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2024-06-30,2024-08-14,2024-08-14 16:01:08,2,1934 Act,241207252,17024,494033169715,1,0.0,Michael Henry,Chief Accounting Officer,New York,NY,,"200 S. BISCAYNE BLVD., SUITE 3300",SOUTHEAST FINANCIAL CENTER,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,SOUTHEAST FINANCIAL CENTER,DE,,33131.0,MIAMI,FL,"200 S. BISCAYNE BLVD., SUITE 3300",33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000095012324008735/0000950123-24-008735.txt,2026-03-22 03:23:54.328681,2026-03-22 03:23:54.328681
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2023-12-31,2024-02-14,2024-02-14 16:01:23,2,1934 Act,24637483,17314,500320815973,1,0.0,Michael Henry,Chief Accounting Officer,New York,NY,,"200 S. BISCAYNE BLVD., SUITE 3300",SOUTHEAST FINANCIAL CENTER,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,SOUTHEAST FINANCIAL CENTER,DE,,33131.0,MIAMI,FL,"200 S. BISCAYNE BLVD., SUITE 3300",33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000095012324002516/0000950123-24-002516.txt,2026-03-22 03:23:55.267776,2026-03-22 03:23:55.267776
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2024-12-31,2025-02-14,2025-02-14 16:02:07,2,1934 Act,25628099,17346,577866148707,1,0.0,Seth Levy,CCO of Compliance Operations,New York,NY,,"200 S. BISCAYNE BLVD., SUITE 3300",SOUTHEAST FINANCIAL CENTER,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,SOUTHEAST FINANCIAL CENTER,DE,,33131.0,MIAMI,FL,"200 S. BISCAYNE BLVD., SUITE 3300",33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000095012325002739/0000950123-25-002739.txt,2026-03-22 03:23:56.349915,2026-03-22 03:23:56.349915
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2024-09-30,2024-11-14,2024-11-14 16:02:07,2,1934 Act,241461592,16902,518299567529,1,0.0,Michael Henry,Chief Accounting Officer,New York,NY,,"200 S. BISCAYNE BLVD., SUITE 3300",SOUTHEAST FINANCIAL CENTER,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,SOUTHEAST FINANCIAL CENTER,DE,,33131.0,MIAMI,FL,"200 S. BISCAYNE BLVD., SUITE 3300",33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000095012324011767/0000950123-24-011767.txt,2026-03-22 03:23:57.504199,2026-03-22 03:23:57.504199
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2025-06-30,2025-08-14,2025-08-14 16:02:08,2,1934 Act,251218511,15124,575955918666,1,,Seth Levy,CCO of Compliance Operations,New York,NY,,,830 BRICKELL PLAZA,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,830 BRICKELL PLAZA,DE,,33131.0,MIAMI,FL,,33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000110465925078555/0001104659-25-078555.txt,2026-03-22 03:23:58.899320,2026-03-22 03:23:58.899320
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2025-09-30,2025-11-14,2025-11-14 16:09:41,2,1934 Act,251486121,15551,657149092274,1,,Seth Levy,CCO of Compliance Operations,New York,NY,,,830 BRICKELL PLAZA,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,830 BRICKELL PLAZA,DE,,33131.0,MIAMI,FL,,33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000110465925112514/0001104659-25-112514.txt,2026-03-22 03:24:00.193946,2026-03-22 03:24:00.193946
1423053,13F HOLDINGS REPORT,0,028-13183,13F-HR,2025-03-31,2025-05-15,2025-05-15 16:01:07,2,1934 Act,25952359,17161,527316421621,1,0.0,Seth Levy,CCO of Compliance Operations,New York,NY,,"200 S. BISCAYNE BLVD., SUITE 3300",SOUTHEAST FINANCIAL CENTER,FL,CITADEL ADVISORS LLC,305-929-6851,MIAMI,SOUTHEAST FINANCIAL CENTER,DE,,33131.0,MIAMI,FL,"200 S. BISCAYNE BLVD., SUITE 3300",33131.0,1231,,https://www.sec.gov/Archives/edgar/data/1423053/000095012325005687/0000950123-25-005687.txt,2026-03-22 03:24:01.449532,2026-03-22 03:24:01.449532
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2023-12-31,2024-02-14,2024-02-14 12:25:46,2,1934 Act,24634969,742,17864337112,0,,Helene Glotzer,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266124001126/0001172661-24-001126.txt,2026-03-22 03:24:04.416931,2026-03-22 03:24:04.416931
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2024-03-31,2024-05-14,2024-05-14 12:37:20,2,1934 Act,24942538,677,19775432137,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266124002257/0001172661-24-002257.txt,2026-03-22 03:24:05.086377,2026-03-22 03:24:05.086377
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2024-06-30,2024-08-14,2024-08-14 17:10:16,2,1934 Act,241209438,877,19152850231,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266124003581/0001172661-24-003581.txt,2026-03-22 03:24:05.751964,2026-03-22 03:24:05.751964
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2024-12-31,2025-02-13,2025-02-13 16:28:20,2,1934 Act,25620710,691,21811059842,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266125000823/0001172661-25-000823.txt,2026-03-22 03:24:06.418629,2026-03-22 03:24:06.418629
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2024-09-30,2024-11-13,2024-11-13 16:25:14,2,1934 Act,241454720,773,17658794959,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266124004671/0001172661-24-004671.txt,2026-03-22 03:24:07.096055,2026-03-22 03:24:07.096055
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2025-03-31,2025-05-14,2025-05-14 12:47:06,2,1934 Act,25944050,664,21554169616,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266125001828/0001172661-25-001828.txt,2026-03-22 03:24:07.770209,2026-03-22 03:24:07.770209
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2025-06-30,2025-08-13,2025-08-13 15:47:36,2,1934 Act,251211165,585,24791713463,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266125003151/0001172661-25-003151.txt,2026-03-22 03:24:08.445634,2026-03-22 03:24:08.445634
1350694,13F HOLDINGS REPORT,132871809,028-11794,13F-HR,2025-09-30,2025-11-13,2025-11-13 16:36:48,2,1934 Act,251479201,1014,25527677108,0,,Michael Kitson,Chief Compliance Officer and Counsel,Westport,CT,,,ONE NYALA FARMS ROAD,CT,"Bridgewater Associates, LP",203-226-3030,WESTPORT,ONE NYALA FARMS ROAD,DE,"Bridgewater Associates, Inc.",6880.0,WESTPORT,CT,,6880.0,1231,,https://www.sec.gov/Archives/edgar/data/1350694/000117266125004777/0001172661-25-004777.txt,2026-03-22 03:24:09.115414,2026-03-22 03:24:09.115414
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2023-12-31,2024-02-14,2024-02-14 16:11:56,2,1934 Act,24638217,6007,231132340909,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308724000045/0001273087-24-000045.txt,2026-03-22 03:24:11.130297,2026-03-22 03:24:11.130297
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2024-06-30,2024-08-14,2024-08-14 16:03:01,2,1934 Act,241207361,5803,215933040247,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308724000084/0001273087-24-000084.txt,2026-03-22 03:24:12.100538,2026-03-22 03:24:12.100538
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2024-03-31,2024-05-15,2024-05-15 16:06:07,2,1934 Act,24950443,6138,234095874779,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308724000071/0001273087-24-000071.txt,2026-03-22 03:24:13.090457,2026-03-22 03:24:13.090457
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2024-09-30,2024-11-14,2024-11-14 16:04:22,2,1934 Act,241461713,6030,210878956779,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308724000118/0001273087-24-000118.txt,2026-03-22 03:24:14.132995,2026-03-22 03:24:14.132995
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2024-12-31,2025-02-14,2025-02-14 16:11:14,2,1934 Act,25628698,5890,204638490103,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308725000015/0001273087-25-000015.txt,2026-03-22 03:24:15.186003,2026-03-22 03:24:15.186003
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2025-03-31,2025-05-15,2025-05-15 16:05:55,2,1934 Act,25952732,5787,187880176658,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308725000019/0001273087-25-000019.txt,2026-03-22 03:24:16.250265,2026-03-22 03:24:16.250265
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2025-06-30,2025-08-14,2025-08-14 17:00:52,2,1934 Act,251220679,5805,207076085220,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308725000028/0001273087-25-000028.txt,2026-03-22 03:24:17.331312,2026-03-22 03:24:17.331312
1273087,13F COMBINATION REPORT,133804139,028-10684,13F-HR,2025-09-30,2025-11-14,2025-11-14 16:05:04,2,1934 Act,251485754,5978,234292490467,2,0.0,Gil Raviv,Global General Counsel,New York,NY,,,399 PARK AVENUE,NY,MILLENNIUM MANAGEMENT LLC,(212) 841-4100,NEW YORK,399 PARK AVENUE,DE,"MILLENNIUM MANAGEMENT, L.L.C.",10022.0,NEW YORK,NY,,10022.0,1231,,https://www.sec.gov/Archives/edgar/data/1273087/000127308725000034/0001273087-25-000034.txt,2026-03-22 03:24:18.442815,2026-03-22 03:24:18.442815
